Distance (m),Elevation (m),X (EPSG:3395),Y (EPSG:3395)
0.00,479.77,9469026.91,2722612.71
5.60,479.66,9469032.50,2722613.01
11.20,479.52,9469038.09,2722613.32
16.80,479.16,9469043.68,2722613.62
22.40,479.04,9469049.28,2722613.93
28.00,478.95,9469054.87,2722614.23
33.60,479.00,9469060.46,2722614.53
39.19,479.14,9469066.05,2722614.84
44.79,478.86,9469071.64,2722615.14
50.39,478.47,9469077.23,2722615.45
55.99,478.21,9469082.82,2722615.75
61.59,477.56,9469088.41,2722616.06
67.19,477.40,9469094.00,2722616.36
72.79,477.37,9469099.59,2722616.66
78.39,477.31,9469105.18,2722616.97
83.99,477.32,9469110.78,2722617.27
89.59,476.54,9469116.37,2722617.58
95.19,476.46,9469121.96,2722617.88
100.79,476.56,9469127.55,2722618.19
106.39,476.69,9469133.14,2722618.49
111.99,476.60,9469138.73,2722618.79
117.58,476.31,9469144.32,2722619.10
123.18,475.78,9469149.91,2722619.40
128.78,475.76,9469155.50,2722619.71
134.38,475.45,9469161.09,2722620.01
139.98,475.45,9469166.69,2722620.32
145.58,475.38,9469172.28,2722620.62
151.18,475.09,9469177.87,2722620.92
156.78,475.01,9469183.46,2722621.23
162.38,474.79,9469189.05,2722621.53
167.98,474.51,9469194.64,2722621.84
173.58,474.50,9469200.23,2722622.14
179.18,474.47,9469205.82,2722622.44
184.78,474.43,9469211.41,2722622.75
190.37,474.07,9469217.00,2722623.05
195.97,473.89,9469222.60,2722623.36
201.57,473.89,9469228.19,2722623.66
207.17,473.79,9469233.78,2722623.97
212.77,474.00,9469239.37,2722624.27
218.37,474.05,9469244.96,2722624.57
223.97,474.04,9469250.55,2722624.88
229.57,474.04,9469256.14,2722625.18
235.17,474.22,9469261.73,2722625.49
240.77,473.98,9469267.32,2722625.79
246.37,473.80,9469272.91,2722626.10
251.97,473.23,9469278.51,2722626.40
257.57,472.84,9469284.10,2722626.70
263.16,472.50,9469289.69,2722627.01
268.76,474.51,9469295.28,2722627.31
274.36,479.70,9469300.87,2722627.62
279.96,479.42,9469306.46,2722627.92
285.56,483.22,9469312.05,2722628.23
291.16,479.21,9469317.64,2722628.53
296.76,476.85,9469323.23,2722628.83
302.36,478.36,9469328.82,2722629.14
307.96,478.10,9469334.42,2722629.44
313.56,477.66,9469340.01,2722629.75
319.16,477.53,9469345.60,2722630.05
324.76,477.25,9469351.19,2722630.35
330.36,471.25,9469356.78,2722630.66
335.96,470.90,9469362.37,2722630.96
341.55,470.58,9469367.96,2722631.27
347.15,470.38,9469373.55,2722631.57
352.75,470.26,9469379.14,2722631.88
358.35,470.23,9469384.73,2722632.18
363.95,469.77,9469390.33,2722632.48
369.55,469.42,9469395.92,2722632.79
375.15,469.39,9469401.51,2722633.09
380.75,469.39,9469407.10,2722633.40
386.35,469.36,9469412.69,2722633.70
391.95,469.40,9469418.28,2722634.01
397.55,469.38,9469423.87,2722634.31
403.15,469.34,9469429.46,2722634.61
408.75,469.30,9469435.05,2722634.92
414.34,469.27,9469440.64,2722635.22
419.94,469.25,9469446.23,2722635.53
425.54,469.23,9469451.83,2722635.83
431.14,469.23,9469457.42,2722636.14
436.74,469.15,9469463.01,2722636.44
442.34,469.28,9469468.60,2722636.74
447.94,469.89,9469474.19,2722637.05
453.54,471.13,9469479.78,2722637.35
459.14,470.94,9469485.37,2722637.66
464.74,471.09,9469490.96,2722637.96
470.34,471.25,9469496.55,2722638.27
475.94,471.38,9469502.14,2722638.57
481.54,471.46,9469507.74,2722638.87
487.14,471.77,9469513.33,2722639.18
492.73,472.48,9469518.92,2722639.48
498.33,472.60,9469524.51,2722639.79
503.93,473.37,9469530.10,2722640.09
509.53,473.39,9469535.69,2722640.39
515.13,472.86,9469541.28,2722640.70
520.73,472.93,9469546.87,2722641.00
526.33,473.07,9469552.46,2722641.31
531.93,473.44,9469558.05,2722641.61
537.53,473.30,9469563.65,2722641.92
543.13,473.39,9469569.24,2722642.22
548.73,473.44,9469574.83,2722642.52
554.33,473.53,9469580.42,2722642.83
559.93,473.56,9469586.01,2722643.13
565.52,473.65,9469591.60,2722643.44
571.12,473.88,9469597.19,2722643.74
576.72,473.85,9469602.78,2722644.05
582.32,476.68,9469608.37,2722644.35
587.92,489.74,9469613.96,2722644.65
593.52,491.74,9469619.56,2722644.96
599.12,492.43,9469625.15,2722645.26
604.72,490.28,9469630.74,2722645.57
610.32,479.37,9469636.33,2722645.87
615.92,476.15,9469641.92,2722646.18
621.52,476.53,9469647.51,2722646.48
627.12,474.88,9469653.10,2722646.78
632.72,475.01,9469658.69,2722647.09
638.31,474.87,9469664.28,2722647.39
643.91,475.03,9469669.87,2722647.70
649.51,475.10,9469675.47,2722648.00
655.11,485.94,9469681.06,2722648.30
660.71,493.70,9469686.65,2722648.61
666.31,492.70,9469692.24,2722648.91
671.91,484.04,9469697.83,2722649.22
677.51,480.01,9469703.42,2722649.52
683.11,478.28,9469709.01,2722649.83
688.71,475.78,9469714.60,2722650.13
694.31,476.81,9469720.19,2722650.43
699.91,479.32,9469725.78,2722650.74
705.51,477.94,9469731.38,2722651.04
711.11,477.22,9469736.97,2722651.35
716.70,479.32,9469742.56,2722651.65
722.30,483.89,9469748.15,2722651.96
727.90,485.70,9469753.74,2722652.26
733.50,486.74,9469759.33,2722652.56
739.10,483.16,9469764.92,2722652.87
744.70,478.10,9469770.51,2722653.17
750.30,477.19,9469776.10,2722653.48
755.90,476.14,9469781.69,2722653.78
761.50,474.61,9469787.28,2722654.09
767.10,473.96,9469792.88,2722654.39
772.70,474.22,9469798.47,2722654.69
778.30,474.14,9469804.06,2722655.00
783.90,474.46,9469809.65,2722655.30
789.49,474.88,9469815.24,2722655.61
795.09,475.15,9469820.83,2722655.91
800.69,474.86,9469826.42,2722656.22
806.29,476.07,9469832.01,2722656.52
811.89,476.28,9469837.60,2722656.82
817.49,475.42,9469843.19,2722657.13
823.09,475.09,9469848.79,2722657.43
828.69,477.91,9469854.38,2722657.74
834.29,477.45,9469859.97,2722658.04
839.89,476.52,9469865.56,2722658.34
845.49,477.55,9469871.15,2722658.65
851.09,477.23,9469876.74,2722658.95
856.69,477.86,9469882.33,2722659.26
862.29,476.86,9469887.92,2722659.56
867.88,481.44,9469893.51,2722659.87
873.48,483.16,9469899.10,2722660.17
879.08,481.29,9469904.70,2722660.47
884.68,481.23,9469910.29,2722660.78
890.28,480.72,9469915.88,2722661.08
895.88,480.85,9469921.47,2722661.39
901.48,480.79,9469927.06,2722661.69
907.08,477.99,9469932.65,2722662.00
912.68,477.17,9469938.24,2722662.30
918.28,477.44,9469943.83,2722662.60
923.88,477.76,9469949.42,2722662.91
929.48,481.08,9469955.01,2722663.21
935.08,482.45,9469960.61,2722663.52
940.67,483.06,9469966.20,2722663.82
946.27,482.72,9469971.79,2722664.13
951.87,477.49,9469977.38,2722664.43
957.47,478.41,9469982.97,2722664.73
963.07,478.97,9469988.56,2722665.04
968.67,479.49,9469994.15,2722665.34
974.27,482.26,9469999.74,2722665.65
979.87,483.61,9470005.33,2722665.95
985.47,480.18,9470010.92,2722666.26
991.07,479.54,9470016.52,2722666.56
996.67,481.91,9470022.11,2722666.86
1002.27,481.42,9470027.70,2722667.17
1007.87,480.65,9470033.29,2722667.47
1013.47,477.47,9470038.88,2722667.78
1019.06,476.28,9470044.47,2722668.08
1024.66,475.94,9470050.06,2722668.38
1030.26,476.00,9470055.65,2722668.69
1035.86,476.64,9470061.24,2722668.99
1041.46,478.36,9470066.83,2722669.30
1047.06,479.57,9470072.42,2722669.60
1052.66,481.82,9470078.02,2722669.91
1058.26,482.48,9470083.61,2722670.21
1063.86,479.66,9470089.20,2722670.51
1069.46,479.96,9470094.79,2722670.82
1075.06,478.83,9470100.38,2722671.12
1080.66,477.95,9470105.97,2722671.43
1086.26,479.36,9470111.56,2722671.73
1091.85,481.60,9470117.15,2722672.04
1097.45,480.52,9470122.74,2722672.34
1103.05,482.79,9470128.33,2722672.64
1108.65,483.49,9470133.93,2722672.95
1114.25,478.10,9470139.52,2722673.25
1119.85,481.85,9470145.11,2722673.56
